id,name,released_at,image_uris,set_name,collector_number,artist,art_crop_uri
b1623d57-4729-4796-b3f7-f1837a05c6ed,Plains,1993-08-05,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/b/1/b1623d57-4729-4796-b3f7-f1837a05c6ed.jpg?1559591610', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/b/1/b1623d57-4729-4796-b3f7-f1837a05c6ed.jpg?1559591610', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/b/1/b1623d57-4729-4796-b3f7-f1837a05c6ed.jpg?1559591610', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/b/1/b1623d57-4729-4796-b3f7-f1837a05c6ed.png?1559591610', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/b/1/b1623d57-4729-4796-b3f7-f1837a05c6ed.jpg?1559591610', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/b/1/b1623d57-4729-4796-b3f7-f1837a05c6ed.jpg?1559591610'}",Limited Edition Alpha,286,Jesper Myrfors,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/b/1/b1623d57-4729-4796-b3f7-f1837a05c6ed.jpg?1559591610
90a57c0e-fa61-45ef-955d-d296403967d5,Island,1993-08-05,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/9/0/90a57c0e-fa61-45ef-955d-d296403967d5.jpg?1559591389', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/9/0/90a57c0e-fa61-45ef-955d-d296403967d5.jpg?1559591389', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/9/0/90a57c0e-fa61-45ef-955d-d296403967d5.jpg?1559591389', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/9/0/90a57c0e-fa61-45ef-955d-d296403967d5.png?1559591389', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/9/0/90a57c0e-fa61-45ef-955d-d296403967d5.jpg?1559591389', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/9/0/90a57c0e-fa61-45ef-955d-d296403967d5.jpg?1559591389'}",Limited Edition Alpha,288,Mark Poole,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/9/0/90a57c0e-fa61-45ef-955d-d296403967d5.jpg?1559591389
6176936d-72e2-4205-8871-4c5a4f1cb2d8,Swamp,1993-08-05,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/6/1/6176936d-72e2-4205-8871-4c5a4f1cb2d8.jpg?1559591380', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/6/1/6176936d-72e2-4205-8871-4c5a4f1cb2d8.jpg?1559591380', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/6/1/6176936d-72e2-4205-8871-4c5a4f1cb2d8.jpg?1559591380', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/6/1/6176936d-72e2-4205-8871-4c5a4f1cb2d8.png?1559591380', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/6/1/6176936d-72e2-4205-8871-4c5a4f1cb2d8.jpg?1559591380', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/6/1/6176936d-72e2-4205-8871-4c5a4f1cb2d8.jpg?1559591380'}",Limited Edition Alpha,290,Dan Frazier,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/6/1/6176936d-72e2-4205-8871-4c5a4f1cb2d8.jpg?1559591380
eace2c85-976c-425e-9800-5a6ccbd91b56,Mountain,1993-08-05,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/e/a/eace2c85-976c-425e-9800-5a6ccbd91b56.jpg?1559591509', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/e/a/eace2c85-976c-425e-9800-5a6ccbd91b56.jpg?1559591509', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/e/a/eace2c85-976c-425e-9800-5a6ccbd91b56.jpg?1559591509', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/e/a/eace2c85-976c-425e-9800-5a6ccbd91b56.png?1559591509', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/e/a/eace2c85-976c-425e-9800-5a6ccbd91b56.jpg?1559591509', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/e/a/eace2c85-976c-425e-9800-5a6ccbd91b56.jpg?1559591509'}",Limited Edition Alpha,292,Douglas Shuler,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/e/a/eace2c85-976c-425e-9800-5a6ccbd91b56.jpg?1559591509
f20c89d9-71c9-45f5-a9cb-6e253b0a7cca,Forest,1993-08-05,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/f/2/f20c89d9-71c9-45f5-a9cb-6e253b0a7cca.jpg?1559591510', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/f/2/f20c89d9-71c9-45f5-a9cb-6e253b0a7cca.jpg?1559591510', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/f/2/f20c89d9-71c9-45f5-a9cb-6e253b0a7cca.jpg?1559591510', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/f/2/f20c89d9-71c9-45f5-a9cb-6e253b0a7cca.png?1559591510', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/f/2/f20c89d9-71c9-45f5-a9cb-6e253b0a7cca.jpg?1559591510', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/2/f20c89d9-71c9-45f5-a9cb-6e253b0a7cca.jpg?1559591510'}",Limited Edition Alpha,295,Christopher Rush,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/f/2/f20c89d9-71c9-45f5-a9cb-6e253b0a7cca.jpg?1559591510
d06130fa-f4a5-45c1-81e3-25982e49fab1,Forest,1993-12-10,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/d/0/d06130fa-f4a5-45c1-81e3-25982e49fab1.jpg?1559591613', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/d/0/d06130fa-f4a5-45c1-81e3-25982e49fab1.jpg?1559591613', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/d/0/d06130fa-f4a5-45c1-81e3-25982e49fab1.jpg?1559591613', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/d/0/d06130fa-f4a5-45c1-81e3-25982e49fab1.png?1559591613', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/d/0/d06130fa-f4a5-45c1-81e3-25982e49fab1.jpg?1559591613', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/d/0/d06130fa-f4a5-45c1-81e3-25982e49fab1.jpg?1559591613'}",Collectors’ Edition,300,Christopher Rush,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/d/0/d06130fa-f4a5-45c1-81e3-25982e49fab1.jpg?1559591613
09df246f-7386-44a6-9a9b-d53f4217bca0,Swamp,1993-12-10,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/0/9/09df246f-7386-44a6-9a9b-d53f4217bca0.jpg?1559591648', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/0/9/09df246f-7386-44a6-9a9b-d53f4217bca0.jpg?1559591648', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/0/9/09df246f-7386-44a6-9a9b-d53f4217bca0.jpg?1559591648', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/0/9/09df246f-7386-44a6-9a9b-d53f4217bca0.png?1559591648', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/0/9/09df246f-7386-44a6-9a9b-d53f4217bca0.jpg?1559591648', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/0/9/09df246f-7386-44a6-9a9b-d53f4217bca0.jpg?1559591648'}",Intl. Collectors’ Edition,295,Dan Frazier,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/0/9/09df246f-7386-44a6-9a9b-d53f4217bca0.jpg?1559591648
8587372d-48d1-4c5e-9e36-28838986536f,Swamp,1993-12-10,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/8/5/8587372d-48d1-4c5e-9e36-28838986536f.jpg?1559591573', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/8/5/8587372d-48d1-4c5e-9e36-28838986536f.jpg?1559591573', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/8/5/8587372d-48d1-4c5e-9e36-28838986536f.jpg?1559591573', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/8/5/8587372d-48d1-4c5e-9e36-28838986536f.png?1559591573', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/8/5/8587372d-48d1-4c5e-9e36-28838986536f.jpg?1559591573', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/8/5/8587372d-48d1-4c5e-9e36-28838986536f.jpg?1559591573'}",Intl. Collectors’ Edition,296,Dan Frazier,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/8/5/8587372d-48d1-4c5e-9e36-28838986536f.jpg?1559591573
ca039e3e-2d55-4b7e-97b4-5c4fca717e00,Mountain,1993-12-10,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/c/a/ca039e3e-2d55-4b7e-97b4-5c4fca717e00.jpg?1559591808', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/c/a/ca039e3e-2d55-4b7e-97b4-5c4fca717e00.jpg?1559591808', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/c/a/ca039e3e-2d55-4b7e-97b4-5c4fca717e00.jpg?1559591808', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/c/a/ca039e3e-2d55-4b7e-97b4-5c4fca717e00.png?1559591808', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/c/a/ca039e3e-2d55-4b7e-97b4-5c4fca717e00.jpg?1559591808', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/c/a/ca039e3e-2d55-4b7e-97b4-5c4fca717e00.jpg?1559591808'}",Intl. Collectors’ Edition,298,Douglas Shuler,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/c/a/ca039e3e-2d55-4b7e-97b4-5c4fca717e00.jpg?1559591808
b38ce16b-3258-4019-9e86-156e4738aa89,Forest,1994-04-01,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/b/3/b38ce16b-3258-4019-9e86-156e4738aa89.jpg?1559596820', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/b/3/b38ce16b-3258-4019-9e86-156e4738aa89.jpg?1559596820', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/b/3/b38ce16b-3258-4019-9e86-156e4738aa89.jpg?1559596820', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/b/3/b38ce16b-3258-4019-9e86-156e4738aa89.png?1559596820', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/b/3/b38ce16b-3258-4019-9e86-156e4738aa89.jpg?1559596820', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/b/3/b38ce16b-3258-4019-9e86-156e4738aa89.jpg?1559596820'}",Revised Edition,306,Christopher Rush,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/b/3/b38ce16b-3258-4019-9e86-156e4738aa89.jpg?1559596820
